#    BPM     pos[m]    offset[deg]   offset_err[deg]
1 SCL_Diag:BPM00a     0.203     48.08    0.00
2 SCL_Diag:BPM00b     1.505     57.02    0.00
3 SCL_Diag:BPM01     7.574      5.39    0.00
4 SCL_Diag:BPM02    13.410      4.97    0.00
5 SCL_Diag:BPM03    19.249      4.56    0.00
6 SCL_Diag:BPM04    25.088      4.12    0.00
7 SCL_Diag:BPM05    30.926      3.68    0.00
8 SCL_Diag:BPM06    36.766      3.26    0.00
9 SCL_Diag:BPM07    42.609      2.84    0.00
10 SCL_Diag:BPM08    48.442      2.40    0.00
11 SCL_Diag:BPM09    54.286      1.96    0.00
12 SCL_Diag:BPM10    60.123      1.55    0.00
13 SCL_Diag:BPM11    65.960      1.12    0.00
14 SCL_Diag:BPM12    73.852      1.42    0.00
15 SCL_Diag:BPM13    81.743      3.03    0.00
16 SCL_Diag:BPM14    89.634     -1.20    0.93
17 SCL_Diag:BPM15    97.525      3.73    1.28
18 SCL_Diag:BPM16   105.418      2.06    0.29
19 SCL_Diag:BPM17   113.309      0.24    0.47
20 SCL_Diag:BPM18   121.188     -0.55    0.30
21 SCL_Diag:BPM19   129.088     -0.03    0.26
22 SCL_Diag:BPM20   136.978      0.13    0.27
23 SCL_Diag:BPM21   144.873      0.26    0.35
24 SCL_Diag:BPM23   160.653      0.61    0.47
25 SCL_Diag:BPM24   168.541      0.60    0.56
26 SCL_Diag:BPM25   176.432      0.74    0.22
27 SCL_Diag:BPM26   184.328      0.63    0.23
28 SCL_Diag:BPM27   192.215      0.51    0.24
29 SCL_Diag:BPM28   200.108      0.39    0.25
30 SCL_Diag:BPM29   208.000      0.27    0.26
31 SCL_Diag:BPM30   215.890      0.17    0.27
32 SCL_Diag:BPM31   223.779      0.09    0.28
33 SCL_Diag:BPM32   231.672      0.00    0.29
34 HEBT_Diag:BPM01   239.507    115.75    0.40
35 HEBT_Diag:BPM02   243.507    117.01    0.68
36 HEBT_Diag:BPM03   247.507    117.07    0.77
37 HEBT_Diag:BPM04   251.507    117.21    1.57
38 HEBT_Diag:BPM05   255.507    120.38    0.87
39 HEBT_Diag:BPM06   259.507    109.02    0.82
40 HEBT_Diag:BPM07   263.507    111.60    0.58
41 HEBT_Diag:BPM08   267.507    112.24    0.93
42 HEBT_Diag:BPM09   271.507    114.92    0.56
43 HEBT_Diag:BPM10   275.507    116.76    0.22
44 HEBT_Diag:BPM11   279.505    -50.06    0.31
